user_id,task_id,turn_id,ground_truth,expected_tool_call,agent_name,agent_role,agent_task,system_prompt,agent_response,trace,tools_available,tool_calls,parameters_passed,tool_call_results,retrieval_query,retrieved_context,exit_status,agent_exit,metadata
,eda4fe22-9a2b-4b73-856b-f4f3309bf719,95dac0c3-83fd-459c-af4e-c6a1734fd874,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,0ffffba1-8a37-443c-8866-d53ffbfa7718,516060a3-0f58-46ba-8a6a-4b502a376492,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,f1f37bd7-0851-4659-b493-b80d3800d920,8f8d2dc4-150f-4e43-aad3-96da4d06f586,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,43cdf081-4f01-49cd-b566-dbd1619e6cd2,cf0a915c-668b-412e-9c14-69119d059dc2,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,9a1983f4-09da-4b53-80e6-38de6878e0e7,f75b51b8-4882-4170-bc08-2adcab250f50,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,5d2517e1-220a-429d-9d59-f701bda25eed,4180abcf-924c-45ac-8dfa-17c0bc603eff,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,52aacb67-c361-4445-9b72-c157f79f47d6,8b0022cc-91dd-4065-91ed-b77217f92bd7,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,a81ca3a8-80aa-4c39-876e-8d40ea7a0aef,780df186-fe5a-4742-b937-2a142ad528c6,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,230aad27-f3dd-4968-a45a-3c2f07ac28ed,f80ae3e8-b4dd-42c6-b17b-de7805cedbb9,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,83c7dcce-3d89-4da1-8b3f-d419885d4cbc,209259cf-411d-4b97-8f7b-40b2530eec81,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,2218f641-604c-491a-9710-b51a9941b982,c3f3bd32-9954-443f-93e5-52aa6cf412a0,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,255fd49c-84b4-4b18-887e-6308a412d535,940ce621-0015-45ed-adc6-c4caa2a95e81,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,dc511122-c0b6-415c-9a49-c7b45132dd87,ea28f049-6bc9-48b4-8386-279abe087ca8,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,04bebf38-a343-4563-80db-0154bef8d927,01a03da5-64df-41e3-b9c9-556e12a8edd7,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,5e043630-6493-42b5-beb8-79faa19bfa37,8d9c632b-b2e8-496d-b1b0-a89e780ef810,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,7da9814d-a2e8-4c4e-b750-68b26bd5fd22,72dfbba4-0672-4adc-a1bf-308157d831e6,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,16143f74-2831-4753-b33d-ce4b645093c5,92c81ee2-728d-4ea6-bc52-b81295d2aea2,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,fc64e6cc-6739-4256-ac4a-7b80c3028233,807627b0-41d9-478f-8a8b-26540d70af68,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,b7945c49-f584-4c70-972d-536a805d8a31,bf860672-af22-44c1-b13b-0eabe8f72503,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,f5c40ecf-36c0-45ba-9cc9-dc0329b0324b,5fa714f1-eeb9-4617-bc7e-67062e6d1eab,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
