user_id,task_id,turn_id,ground_truth,expected_tool_call,agent_name,agent_role,agent_task,system_prompt,agent_response,trace,tools_available,tool_calls,parameters_passed,tool_call_results,retrieval_query,retrieved_context,exit_status,agent_exit,metadata
,eda4fe22-9a2b-4b73-856b-f4f3309bf719,ce8556f4-bbeb-46fc-8bfd-dfaedb61cb70,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,0ffffba1-8a37-443c-8866-d53ffbfa7718,cc3073ec-c970-4821-8335-8d0fc8f37930,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,f1f37bd7-0851-4659-b493-b80d3800d920,c24fae6d-6314-4342-8214-7e9905ae83db,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,43cdf081-4f01-49cd-b566-dbd1619e6cd2,93879d8f-77c7-4fd4-881b-be500e2dcbde,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,9a1983f4-09da-4b53-80e6-38de6878e0e7,f92643c0-44a3-4fae-9d29-45321342d12f,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,5d2517e1-220a-429d-9d59-f701bda25eed,44f379aa-10fe-4a51-847c-5288444d7843,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,52aacb67-c361-4445-9b72-c157f79f47d6,e8e79f2a-2ed0-4981-943c-adcf6f7d2b15,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,a81ca3a8-80aa-4c39-876e-8d40ea7a0aef,e6d0eb41-5f64-44c5-8a42-a80c336de03e,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,230aad27-f3dd-4968-a45a-3c2f07ac28ed,c545cb62-5a51-4f2e-b020-b3f1d1dfe217,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,83c7dcce-3d89-4da1-8b3f-d419885d4cbc,c2f21e4d-a5e6-4134-aeaf-96e2f566cf96,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,2218f641-604c-491a-9710-b51a9941b982,39d99d2b-518f-439c-8758-7a01b970fd9e,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,255fd49c-84b4-4b18-887e-6308a412d535,9e5ade74-3815-4dad-8abe-d4281d7e62da,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,dc511122-c0b6-415c-9a49-c7b45132dd87,4f38a85b-0721-47a5-8a51-d0808e460f96,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,04bebf38-a343-4563-80db-0154bef8d927,f4c03a8d-b90d-4c1a-a259-826d09e3e57a,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,5e043630-6493-42b5-beb8-79faa19bfa37,48fb40ba-a39f-4e13-9d94-18794c7e5e2b,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,7da9814d-a2e8-4c4e-b750-68b26bd5fd22,d4d544a0-f052-4889-82eb-4346f2e447a7,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,16143f74-2831-4753-b33d-ce4b645093c5,304f9e3d-9063-4661-9777-618efc49f5c1,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,fc64e6cc-6739-4256-ac4a-7b80c3028233,e0b4ccfb-18e7-4d71-b2dd-5b807eb27513,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,b7945c49-f584-4c70-972d-536a805d8a31,f1425131-f8a2-43f7-aa17-d009f745ed06,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,f5c40ecf-36c0-45ba-9cc9-dc0329b0324b,f41e836c-1a82-46e0-9d51-011713874e94,,,agent,agent,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
